,Precio,Direccion,Barrio
6611,USD 186.000,Av. Padre Claret y Av. Spilimbergo s/n,"Los Boulevares, Córdoba"
6612,USD 98.000,Hipolito Vieytes 300,"Alto Alberdi, Córdoba"
6613,USD 53.000,san martin 1561 ,"Cofico, Córdoba"
6614,USD 89.000,Bolivia 250,"Nueva Córdoba, Córdoba"
6615,USD 150.000,Laguna Honda 8975,"Villa Rivera Indarte, Córdoba"
6616,$ 60.000,Mariano Fragueiro 1480,"Cofico, Córdoba"
6617,USD 790.000,Country El Bosque,"Córdoba, Córdoba"
6618,USD 74.000,parana 478,"Nueva Córdoba, Córdoba"
6619,USD 215.000,,"Miradores de Manantiales, Córdoba"
6620,USD 52.000,Boulevard Illia al 400,"Nueva Córdoba, Córdoba"
6621,USD 60.000,Chacabuco 635 11,"Nueva Córdoba, Córdoba"
6622,USD 115.000,Obispo Lascano 2800,"Villa Cabrera, Córdoba"
6623,USD 98.000,Obispo salguero 466,"Nueva Córdoba, Córdoba"
6624,USD 120.000,"PRADOS DE MANANTIAL, Córdoba, Córdoba, Argentina.","Altos de Manantiales, Córdoba"
6625,Consultar precio,,"Altos del Chateau, Córdoba"
6626,USD 140.000,Ibarbalz 700 8°,"General Paz, Córdoba"
6627,USD 63.000,lima 1367,"General Paz, Córdoba"
6628,USD 300.000,Felix Olmedo 2489,"Rogelio Martínez, Córdoba"
6629,USD 93.000,Calle Publica Lote / N° 0,"Quebrada de Manantiales, Córdoba"
6630,USD 220.000,,"Manantiales, Córdoba"
6631,USD 112.500,,"Prados de Manantiales, Córdoba"
6632,USD 150.000,Francisco de Olea al 5700,"Granja de Funes, Córdoba"
6633,USD 69.000,Bolivia al 100,"Nueva Córdoba, Córdoba"
6634,USD 63.000,Santa Rosa 1812,"Alberdi, Córdoba"
6635,USD 58.000,Ambrosio Olmos al 600,"Nueva Córdoba, Córdoba"
6636,USD 93.000,Av. Ambrosio Olmos 800,"Nueva Córdoba, Córdoba"
6637,$ 30.136.875,AV. VELEZ SARFIELD 1340,"Córdoba, Córdoba"
6638,USD 150.000,Berdardo O' Higgins 6100,"Greenville II, Córdoba"
6639,USD 30.000,San José de Calasanz 100,"Alberdi, Córdoba"
6640,USD 125.000,Colanchanga .,"Córdoba, Córdoba"
6641,USD 100.000,Bv. Chacabuco 300,"Nueva Córdoba, Córdoba"
6642,USD 180.000,Lote 11 Manzana 267,"Comarca de Allende, Córdoba"
6643,USD 180.000,Cortejarena 4000,"URCA, Córdoba"
6644,USD 130.000,Celso Barrios 3600 3600,"Córdoba, Córdoba"
6645,USD 95.000,Av. Sagrada Familia 451,"Alto Alberdi, Córdoba"
6646,USD 105.000,Jose Benito Cottolengo al 600,"Córdoba, Córdoba"
6647,USD 129.000,Belén 4600,"Alejandro Centeno, Córdoba"
6648,USD 97.000,Caseros 3054,"Alto Alberdi, Córdoba"
6649,USD 87.000,Bv. San Juan al 200,"Centro, Córdoba"
6650,USD 42.000,,"Güemes, Córdoba"
6651,USD 95.000,Bv Chacabuco 161,"Centro, Córdoba"
6652,USD 58.000,Miguel del Corro 1030 1030,"Observatorio, Córdoba"
6653,USD 195.300,Obispo Trejo al 1100,"Nueva Córdoba, Córdoba"
6654,USD 145.000,Tupac Yupanqui 7636,"Villa Quisquizacate, Córdoba"
6655,USD 64.000,Güemes al 300,"General Paz, Córdoba"
6656,USD 48.500,Santa Rosa al 100,"Centro, Córdoba"
6657,USD 50.000,Richardson 100,"Nueva Córdoba, Córdoba"
6658,USD 65.000,Crisol 100,"Nueva Córdoba, Córdoba"
6659,USD 39.900,Ezequiel Paz al 3900,"Las Magnolias, Córdoba"
6660,USD 60.000,"Juan de Garay 1755, Córdoba, Córdoba, Argentina.","General Pueyrredón, Córdoba"
6661,USD 650.000,Barrancas DEL SUR,"Barrancas del Sur, Córdoba"
6662,USD 99.000,Juan Vieytes 493,"Obrero, Córdoba"
6663,USD 65.000,Jose Garibaldi 882,"General Pueyrredón, Córdoba"
6664,$ 330.000,Chacabuco 887,"Nueva Córdoba, Córdoba"
6665,USD 65.000,Ambrosio Olmos al 600,"Nueva Córdoba, Córdoba"
6666,USD 310.000,Alto Alberdi. Edificio EN Venta.,"Alto Alberdi, Córdoba"
6667,USD 125.000,Departamentos EN Venta. Lomas DE SAN Martin,"Lomas de San Martín, Córdoba"
6668,USD 250.000,Centro. Departamentos en Venta.,"Córdoba, Córdoba"
6669,USD 360.000,Gregorio Laferrere al 2100,"Cerro de las Rosas, Córdoba"
6670,USD 47.000,,"Observatorio, Córdoba"
6671,USD 270.000,rodriguez del busto 2562,"Alto Verde, Córdoba"
6672,USD 55.000,Ituzaingo 450 3F,"Nueva Córdoba, Córdoba"
6673,USD 48.000,Av. Colon 2738,"René Favaloro, Córdoba"
6674,USD 148.000,Obispo Salguero 655,"Nueva Córdoba, Córdoba"
6675,USD 65.000,Fray Mamerto Esquiú 442,"General Paz, Córdoba"
6676,USD 48.000,Sol de Mayo 427,"Centro, Córdoba"
6677,USD 160.000,Los Calabreses 3868,"Los Boulevares, Córdoba"
6678,USD 125.000,Los Pinares 3153,"Alto Verde, Córdoba"
6679,USD 34.000,Trafalgar 1063,"Alta Córdoba, Córdoba"
6680,USD 35.000,Dean Funes 1032,"Alberdi, Córdoba"
6681,USD 240.000,Miguel Lillo 1833,"Altos del Chateau, Córdoba"
6682,USD 74.500,Buenos Aires al 400,"Nueva Córdoba, Córdoba"
6683,USD 61.000,Santa Fe 610,"Centro, Córdoba"
6684,USD 44.000,Pueyrredon 800 7°,"Observatorio, Córdoba"
6685,USD 89.000,Solares De Manantiales Lote / N° 10,"Solares de Manantiales, Córdoba"
6686,USD 310.000,Mariotte Esq. Papin,"Villa Belgrano, Córdoba"
6687,USD 50.000,Donato Alvarez 9906,"Villa Cornú, Córdoba"
6688,USD 47.000,montevideo 432,"Güemes, Córdoba"
6689,USD 55.000,BV Illia 63,"Nueva Córdoba, Córdoba"
6690,USD 112.900,Consultar dirección,"Bajo Palermo, Córdoba"
6691,USD 175.000,27 de Abril 1200,"Córdoba, Córdoba"
6692,USD 100.000,Antonio de Azcona 1,"Villa San Carlos, Córdoba"
6693,USD 150.000,Aconquija al 2800,"Parque Capital, Córdoba"
6694,USD 95.000,Buenos Aires 800,"Nueva Córdoba, Córdoba"
6695,USD 140.000,Tránsito Cáceres de Allende 400,"Nueva Córdoba, Córdoba"
6696,USD 56.000,José Cottolengo al 700,"Córdoba, Córdoba"
6697,USD 72.500,Solares de Manantiales,"Manantiales, Córdoba"
6698,USD 75.000,Solares de Manantiales,"Manantiales, Córdoba"
6699,USD 115.000,Faustino Allende al 600,"Cofico, Córdoba"
6700,USD 135.000,,"Manantiales, Córdoba"
6701,USD 290.000,"los aromas, valle escondido, Córdoba, Córdoba, Argentina.","Córdoba, Córdoba"
6702,USD 74.000,FELIX FRIAS 105,"General Paz, Córdoba"
6703,USD 23.500,Egeo - Luis De Agote Y Sol De Mayo,"Residencial Santa Ana, Córdoba"
6704,USD 130.000,Buenos Aires 1375,"Nueva Córdoba, Córdoba"
6705,USD 175.000,Oghiggins 5900,"Greenville II, Córdoba"
6706,USD 175.000,Córdoba - Barrio Ayacucho - Obispo Carranza al 1800,"Ayacucho, Córdoba"
6707,USD 37.900,Francisco Valles 3400,"Sargento Cabral, Córdoba"
6708,USD 18.700,General Román Deheza 900 3°,"General Pueyrredón, Córdoba"
6709,USD 203.931,Padre Alberione 6500 1°,"Villa Rivera Indarte, Córdoba"
6710,USD 210.510,Padre Alberione 6500,"Villa Rivera Indarte, Córdoba"
6711,USD 27.870,Sol De Mayo 1300,"Residencial Santa Ana, Córdoba"
6712,USD 21.150,Sol De Mayo Y Luis Agote,"Residencial Santa Ana, Córdoba"
6713,USD 20.305,Int. Ramón Bautista Mestre 3000,"Las Rosas, Córdoba"
6714,USD 36.000,,"San Martín, Córdoba"
6715,USD 105.000,Nuevo Jardín Calle Pública 3800,"Córdoba, Córdoba"
6716,USD 96.000,Belgrano 300 3°,"Centro, Córdoba"
6717,USD 50.000,,"Centro, Córdoba"
6718,USD 210.000,Chacabuco 1200,"Nueva Córdoba, Córdoba"
6719,USD 46.000,,"Providencia, Córdoba"
6720,USD 260.000,Doctor Gumersindo Sayago 2337,"Colinas de Vélez Sársfield, Córdoba"
6721,USD 69.000,Obispo Salguero 413,"Nueva Córdoba, Córdoba"
6722,$ 145.000,,"Villa Belgrano, Córdoba"
6723,USD 175.000,Emilio Olmos esquina San Martin ,"Centro, Córdoba"
6724,USD 59.500,Sol De Mayo Y Luis Agote,"Residencial Santa Ana, Córdoba"
6725,USD 26.550,Luis De Agote Y Sol De Mayo,"Residencial Santa Ana, Córdoba"
6726,USD 45.000,,"Alto Alberdi, Córdoba"
6727,USD 300.000,,"Alto Palermo, Córdoba"
6728,USD 590.000,country altos del chateau ,"Altos del Chateau, Córdoba"
6729,USD 49.000,Emilio Caraffa al 2200,"Villa Cabrera, Córdoba"
6730,USD 149.000,Carlos Lopez Buchardo 3192,"Los Plátanos, Córdoba"
6731,USD 360.000,Los Glaciares ,"La Reserva, Córdoba"
6732,USD 49.000,,"Nueva Córdoba, Córdoba"
6733,USD 269.000,Av. Chacabuco ,"Nueva Córdoba, Córdoba"
6734,USD 32.000,pasaje Claudio Arrau 1239,"Juan XXIII, Córdoba"
6735,USD 75.000,Padre Jose Victorio Allegri al 3844,"Córdoba, Córdoba"
6736,USD 75.000,Estrada 128,"Nueva Córdoba, Córdoba"
6737,USD 180.000,gay lussac 5546,"Villa Belgrano, Córdoba"
6738,USD 53.000,Buchardo 2010,"General Pueyrredón, Córdoba"
6739,USD 75.000,Tabor 2245,"Residencial San Carlos, Córdoba"
6740,USD 135.000,,"Nueva Córdoba, Córdoba"
6741,USD 165.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
6742,USD 125.000,,"Centro, Córdoba"
6743,USD 105.000,,"Nueva Córdoba, Córdoba"
6744,USD 100.000,AZCONA,"Villa San Carlos, Córdoba"
6745,USD 280.000,justo liebig,"Villa Belgrano, Córdoba"
6746,USD 258.000,,"Jardín Claret, Córdoba"
6747,$ 36.900,Zipoli 371,"Alberdi, Córdoba"
6748,USD 400.000,Santa Rosa 140,"Córdoba, Córdoba"
6749,USD 35.000,27 de Abril al 2000,"Centro, Córdoba"
6750,USD 105.000,Docta,"DOCTA, Córdoba"
6751,USD 95.000,Bv. San Juan 330,"Nueva Córdoba, Córdoba"
6752,USD 72.000,Parana Y Rondeau,"Nueva Córdoba, Córdoba"
